SITE,TRANSECT,YEAR,AGCL_wet_weight,ALES_wet_weight,LADI_wet_weight,SL_wet_weight,SLJ_wet_weight
Baker North,1,2014,NA,NA,NA,2378.2658181439815,NA
Baker North,1,2015,5.82841341037967,NA,NA,501.14641677523434,NA
Baker North,1,2016,NA,NA,NA,533.6864221197413,NA
Baker North,1,2017,NA,NA,NA,373.995104818367,NA
Baker North,1,2018,NA,NA,NA,218.14647024247614,NA
Baker North,2,2014,NA,NA,NA,1675.8917283801072,NA
Baker North,2,2015,56.74434227115207,NA,NA,431.6060187935569,NA
Baker North,2,2016,NA,NA,NA,253.33839938271976,NA
Baker North,2,2017,1.2851130858881465,NA,NA,186.13799128434434,NA
Baker North,2,2018,NA,NA,NA,97.37876845154727,NA
Baker North,3,2014,NA,NA,NA,182.48992636927238,NA
Baker North,3,2015,NA,NA,NA,437.74631353964537,NA
Baker North,3,2016,NA,NA,NA,23.7387427593438,NA
Baker North,3,2017,NA,NA,NA,123.9226198185833,NA
Baker North,3,2018,NA,NA,NA,16.722121051069582,NA
Baker North,4,2014,NA,NA,NA,542.0478173729545,NA
Baker North,4,2015,NA,NA,NA,385.6874286422991,NA
Baker North,4,2016,NA,NA,NA,91.42575145221431,NA
Baker North,4,2017,NA,NA,NA,337.23170818141995,NA
Baker North,4,2018,16.005461869514768,NA,NA,263.6111273196159,NA
Baker South,1,2014,NA,NA,NA,198.46679138323128,NA
Baker South,1,2015,NA,NA,NA,435.1707335081553,NA
Baker South,1,2016,NA,NA,NA,614.3160421056475,NA
Baker South,1,2017,NA,NA,NA,876.7314534026476,NA
Baker South,1,2018,NA,NA,NA,28.392999070276776,NA
Baker South,2,2014,NA,NA,NA,309.79724658701605,NA
Baker South,2,2015,NA,NA,NA,635.2334541749141,NA
Baker South,2,2016,NA,NA,NA,156.45983846608715,NA
Baker South,2,2017,NA,NA,NA,15.39584559327089,NA
Baker South,2,2018,NA,NA,NA,15.999770553799387,NA
Baker South,3,2014,NA,NA,NA,163.88567568924358,NA
Baker South,3,2015,NA,NA,NA,481.5360543057072,NA
Baker South,3,2016,NA,NA,NA,246.65485680600347,NA
Baker South,3,2017,NA,NA,NA,73.13710203238782,NA
Baker South,3,2018,NA,NA,NA,28.47351546566457,NA
Baker South,4,2014,NA,NA,NA,113.64722230915548,NA
Baker South,4,2015,NA,NA,NA,1420.1765412708446,NA
Baker South,4,2016,NA,NA,NA,255.1168410273523,NA
Baker South,4,2017,NA,NA,NA,475.4929201831637,NA
Baker South,4,2018,NA,NA,NA,68.83541029521697,NA
Calf Island,1,2014,NA,NA,NA,506.2577733356233,NA
Calf Island,1,2015,NA,NA,115.7204789721228,553.3470926794038,NA
Calf Island,1,2016,18.00245558995847,NA,NA,483.6976312603687,NA
Calf Island,1,2017,NA,NA,141.17705124868564,285.32932905299674,NA
Calf Island,2,2014,NA,NA,27.23676230025725,702.7839417912966,NA
Calf Island,2,2015,0,NA,NA,223.44790841454432,NA
Calf Island,2,2016,NA,NA,8.501114446202308,746.4985858538113,NA
Calf Island,2,2017,NA,NA,62.31066162067729,160.66454748468908,NA
Calf Island,3,2014,NA,NA,30.756355029169423,398.6704987831411,NA
Calf Island,3,2015,NA,NA,216.15445004588892,1031.0911373949934,NA
Calf Island,3,2016,0,NA,441.0508963151859,706.1426936362698,NA
Calf Island,3,2017,NA,NA,112.53745092769356,66.68865495681128,NA
Calf Island,4,2014,NA,NA,34.940328095325164,106.9502399009554,NA
Calf Island,4,2015,0,NA,23.575873593841337,635.2083970523305,NA
Calf Island,4,2016,NA,NA,63.614443912572824,414.79314915345435,NA
Calf Island,4,2017,3.1052299334776854,NA,1.261860783603528,25.607841814203937,NA
Fort Weatherill,1,2016,NA,NA,157.39538486219587,168.3575622050867,NA
Fort Weatherill,1,2017,NA,NA,NA,49.01198376729915,NA
Fort Weatherill,1,2018,NA,NA,34.87513859118152,67.35756506765215,NA
Fort Weatherill,2,2016,NA,NA,110.12340180879995,94.65867795111123,NA
Fort Weatherill,2,2017,NA,NA,NA,27.561922978260586,NA
Fort Weatherill,2,2018,NA,NA,NA,109.52307058014597,NA
Fort Weatherill,3,2016,NA,NA,10.313199730495993,16.882994330956038,NA
Fort Weatherill,3,2017,NA,NA,19.896380013393543,85.60845741231168,NA
Fort Weatherill,3,2018,NA,NA,NA,10.400973229551889,NA
Fort Weatherill,4,2016,NA,NA,NA,10.283824829202286,NA
Fort Weatherill,4,2017,NA,NA,79.79383887788971,141.56258159066263,NA
Fort Weatherill,4,2018,NA,NA,NA,116.3491464199233,NA
Hurricane Island,1,2016,NA,NA,NA,NA,NA
Hurricane Island,1,2017,23.0303461255787,NA,NA,303.3031156450655,NA
Hurricane Island,2,2016,NA,NA,NA,NA,NA
Hurricane Island,2,2017,NA,NA,34.24729014051805,896.9664592362282,NA
Hurricane Island,3,2016,NA,NA,NA,NA,NA
Hurricane Island,3,2017,46.27201151109529,NA,86.72800597597254,747.1324684163642,NA
Hurricane Island,4,2016,NA,NA,NA,NA,NA
Hurricane Island,4,2017,NA,NA,NA,NA,NA
Little Brewster,1,2015,NA,NA,NA,414.582165654102,NA
Little Brewster,1,2016,NA,NA,NA,433.38461202004567,NA
Little Brewster,1,2017,NA,NA,NA,39.098480248253416,NA
Little Brewster,2,2014,NA,NA,NA,460.0052284028638,NA
Little Brewster,2,2015,NA,NA,63.76074336980245,768.8270330590572,NA
Little Brewster,2,2016,NA,NA,NA,291.3345357998546,NA
Little Brewster,2,2017,NA,NA,NA,223.17231440897143,NA
Little Brewster,3,2014,NA,NA,NA,937.8224141386395,NA
Little Brewster,3,2015,NA,NA,NA,637.9749351899821,NA
Little Brewster,3,2016,NA,NA,72.9807595465106,123.15583076247218,NA
Little Brewster,3,2017,NA,NA,NA,211.42821180144352,NA
Little Brewster,4,2014,NA,NA,NA,1160.6334860549443,NA
Little Brewster,4,2015,NA,NA,19.35764364080638,344.8895674517011,NA
Little Brewster,4,2016,NA,NA,43.3407265554687,245.73268417139204,NA
Nahant,Canoe Beach 1,2015,NA,NA,NA,183.21789956720784,NA
Nahant,Canoe Beach 1,2016,NA,NA,NA,44.528465858236174,NA
Nahant,Canoe Beach 1,2017,NA,NA,NA,243.5398238753552,NA
Nahant,Canoe Beach 2,2015,NA,NA,NA,48.3381293610733,NA
Nahant,Canoe Beach 2,2016,NA,NA,NA,300.66064218974554,NA
Nahant,Canoe Beach 2,2017,NA,NA,NA,334.3679534936191,NA
Nahant,Canoe Beach 3,2018,NA,NA,NA,127.73375906713422,NA
Nahant,Canoe Beach 4,2018,NA,NA,NA,317.5474424113166,NA
Nahant,Pumphouse Beach 1,2015,NA,NA,NA,164.4586069659958,NA
Nahant,Pumphouse Beach 1,2018,NA,NA,NA,29.918369262258395,NA
Nahant,Pumphouse Beach 2,2015,NA,NA,NA,179.06462841822525,NA
Nahant,Pumphouse Beach 2,2018,NA,NA,NA,40.01732534290903,NA
Nahant,Pumphouse Beach 3,2017,NA,NA,NA,203.34809804160636,NA
Nahant,Pumphouse Beach 4,2017,NA,NA,NA,325.3226987057703,NA
NE Appledore,Broad Cove,2014,NA,NA,NA,1595.0811170388042,NA
NE Appledore,Broad Cove,2015,1.9396666798843667,NA,NA,331.79071193221426,NA
NE Appledore,Broad Cove,2016,NA,NA,NA,65.54936900175329,NA
NE Appledore,Broad Cove,2017,153.48914620345252,NA,NA,260.428923916826,NA
NE Appledore,Broadway and 42nd,2014,20.068900717298547,NA,NA,9.122161711298745,NA
NE Appledore,Broadway and 42nd,2015,83.27563992785251,NA,NA,281.2670380925877,NA
NE Appledore,Broadway and 42nd,2016,NA,NA,NA,19.97551473684367,NA
NE Appledore,Broadway and 42nd,2017,7.768240416053606,NA,NA,124.63165799997817,NA
NE Appledore,Devil's Dance Floor,2014,NA,NA,NA,24.718538976709894,NA
NE Appledore,Devil's Dance Floor,2015,NA,NA,0,NA,NA
NE Appledore,Devil's Dance Floor,2016,7.292960053107775,NA,NA,213.49976437933307,NA
NE Appledore,Devil's Dance Floor,2017,7.872515241271856,NA,NA,498.19211379886565,NA
NE Appledore,Norwegian Cove,2014,13.99660062242751,NA,NA,269.0932417038311,NA
NE Appledore,Norwegian Cove,2015,15.80943042339275,NA,NA,296.47226095042953,NA
NE Appledore,Norwegian Cove,2016,NA,NA,NA,134.46016938632567,NA
Nubble Lighthouse,1,2015,18.564437761607053,NA,NA,256.26209836397896,NA
NW Appledore,8 Ball,2017,2.87804407535684,NA,NA,61.897913468432506,NA
NW Appledore,8 Ball,2018,NA,NA,NA,122.95432940628157,NA
NW Appledore,Larus Ledge,2014,NA,NA,NA,19.925481583182584,NA
NW Appledore,Larus Ledge,2015,52.646005390782804,NA,NA,46.59520679418599,NA
NW Appledore,Larus Ledge,2016,NA,NA,NA,107.92546046414343,NA
NW Appledore,Larus Ledge,2018,47.010400570005736,NA,NA,36.538382902555135,NA
NW Appledore,Magic 8 Ball,2014,1.8024753600752668,NA,NA,47.66120863878401,NA
NW Appledore,Magic 8 Ball,2015,25.801301643644866,NA,NA,221.29132840477297,NA
NW Appledore,Magic 8 Ball,2016,NA,NA,NA,100.11144210851214,NA
NW Appledore,North Head,2014,91.42683595623505,NA,NA,93.13652800705034,NA
NW Appledore,North Head,2015,19.610156180930705,NA,NA,78.59437268022809,NA
NW Appledore,North Head,2016,56.23673882764582,NA,NA,34.388253311855955,NA
NW Appledore,North Head,2017,49.790603969665085,NA,NA,103.2096179533383,NA
NW Appledore,North Head,2018,29.564140386763537,NA,NA,66.38310683329375,NA
NW Appledore,Sandpiper Beach,2014,NA,NA,NA,51.0062163560512,NA
NW Appledore,Sandpiper Beach,2015,NA,NA,NA,NA,52.11817566858444
NW Appledore,Sandpiper Beach,2016,49.63494820359271,NA,NA,181.35315359977534,NA
